Company,R&D Spend,Marketing Spend,Admin Spend,Product Cost,Revenue,Profit
Company_195,123463,152210,51897,111623,356784,52301
Company_196,127706,213214,43380,102999,470247,73570
Company_197,102322,199410,54258,167817,565838,95441
Company_198,123074,216574,50191,102921,406061,74946
Company_199,121164,206717,43585,140692,319542,67303
Company_200,97140,240924,54878,160932,534270,93885
Company_201,127155,203756,68043,154629,514619,75038
Company_202,131215,187117,48090,160636,434587,72347
Company_203,141661,203668,57197,155557,440867,82241
Company_204,141076,216298,37067,181971,441815,91561
Company_205,92446,201465,40435,126192,506632,115725
Company_206,101243,201217,54724,133075,462421,92408
Company_207,130300,178940,64841,130683,529643,97397
Company_208,130275,180112,53556,170754,328722,72410
Company_209,130300,157921,46869,172509,448588,64611
Company_210,197054,252487,49992,161280,432436,80934
Company_211,131417,162684,37495,179587,484619,81607
Company_212,142711,179212,56045,120548,467717,63822
Company_213,139080,178447,58823,191680,547870,77370
Company_214,133027,226847,45479,188080,388439,85989
Company_215,113694,191151,45299,168390,502729,85405
Company_216,135179,237432,52658,194544,533500,87564
Company_217,104543,179795,45632,108584,611398,84364
Company_218,115263,208369,49338,136888,471094,72394
Company_219,110292,174939,70997,131617,519467,72291
Company_220,121637,264354,47529,168036,391768,62015
Company_221,166293,164372,46416,123746,356482,106771
Company_222,82654,209294,43524,168937,550686,80201
Company_223,133725,219013,57441,184263,499666,76627
Company_224,87745,212413,48187,167380,570710,66068
Company_225,110561,194441,43506,157093,417595,124034
Company_226,141779,196105,63213,125303,531194,63900
Company_227,121285,201314,64196,128828,612129,73567
Company_228,98445,195589,43995,181240,525182,86237
Company_229,105693,228916,31334,169483,516594,89003
Company_230,133591,266315,60075,149024,500513,94368
Company_231,105392,183275,43153,139552,405747,107114
Company_232,124329,158905,57906,99354,581334,87592
Company_233,120911,197351,30298,123228,463348,64159
Company_234,106967,277391,58925,197785,530268,76145
Company_235,162878,175889,37888,117988,406217,84617
Company_236,132678,249173,57307,154736,429232,111023
Company_237,79497,250331,50142,175186,586105,59032
Company_238,123729,183392,40460,118626,479161,98038
Company_239,106764,217069,45929,154617,587196,82698
Company_240,137048,248851,56863,173447,495306,92567
Company_241,104149,188626,51058,150312,389486,78470
Company_242,117705,193892,55844,221710,553524,67363
Company_243,130099,182549,69764,108285,464606,91263
Company_244,137315,169557,34357,176468,541921,89816
Company_245,95994,180521,66172,145679,501512,94580
Company_246,113309,163281,51043,169298,407412,79800
Company_247,110501,201022,41012,161032,509857,71002
Company_248,106933,176900,36696,131671,631773,56618
Company_249,155309,207013,48108,155724,529579,92290
Company_250,128099,153323,59216,103552,496548,86358
Company_251,94782,209926,48724,165081,564520,65513
Company_252,138357,225005,65111,157453,512640,71921
Company_253,162443,140187,35488,165966,512572,72998
Company_254,140649,211221,49879,176452,434502,57755
Company_255,89612,236830,37476,159190,514030,67734
Company_256,110315,163710,53636,153702,562126,62992
Company_257,145338,250177,58868,127973,449836,73812
Company_258,105846,212570,45792,132194,585469,68919
Company_259,128876,178849,23957,179668,494497,55594
Company_260,135492,198326,51989,185908,446733,110338
Company_261,101461,216749,54367,144047,559857,98788
Company_262,118809,202280,54042,151150,482792,68314
Company_263,55174,216162,62357,127384,545570,84086
Company_264,99512,172379,39289,179318,482494,86261
Company_265,114948,205080,56802,166635,496410,97866
Company_266,95044,157588,61925,198530,529613,67720
Company_267,152648,196663,32214,128041,517453,96381
Company_268,91397,172882,53196,140549,380268,71781
Company_269,111199,177934,44958,155786,432725,59962
Company_270,122614,237082,49184,166162,555764,90862
Company_271,148825,232739,53476,144608,492071,99361
Company_272,91282,218274,45127,128175,468576,118818
Company_273,143263,167230,43242,172035,418485,62004
Company_274,120204,190507,50341,168028,435215,90483
Company_275,100369,236392,39127,127093,378692,73852
Company_276,129242,204251,39141,183886,493923,91750
Company_277,123981,269579,56793,179254,464093,57942
Company_278,107995,211799,38512,153357,442004,61058
Company_279,121396,205761,56663,151989,495912,68361
Company_280,112293,190726,54625,163851,521838,81184
Company_281,122270,204006,32741,128457,625591,70383
Company_282,133242,195425,43224,150750,409286,89885
Company_283,151720,221243,61941,96190,569562,95403
Company_284,95243,228701,40188,171911,558386,88993
Company_285,162660,176420,45355,110962,453254,104281
Company_286,80958,160063,54620,187585,512194,86237
Company_287,116964,144913,57833,141746,472542,61746
Company_288,131766,215239,47484,144708,511141,100450
Company_289,125619,166899,44024,134306,590547,70922
Company_290,107546,135413,64223,142799,536336,93656
Company_291,115837,211657,67388,185463,530516,103606
Company_292,110139,274789,59788,87804,474181,86850
Company_293,108212,199817,50853,181924,410956,57557
Company_294,136992,225154,41917,158450,487491,66226
Company_295,127140,202454,41695,119824,572396,99841
Company_296,106141,197033,55225,123117,408369,77463
Company_297,137991,227572,54183,191909,436694,81193
Company_298,126145,191291,64015,126362,507576,91382
Company_299,136257,208021,56504,121166,440920,90444
Company_300,132592,209650,34969,178432,452448,84181
Company_301,103420,179957,60519,158463,474584,76869
Company_302,108796,229761,40019,126551,418062,75309
Company_303,134945,194751,46160,155415,441552,92868
Company_304,132207,177327,52502,124356,542205,88303
Company_305,119581,216095,69956,177520,421557,76140
Company_306,122346,173045,81099,176534,404127,96231
Company_307,145553,200845,56067,163300,462198,78064
Company_308,108168,199726,48168,159041,543917,67225
Company_309,130941,232576,55345,194029,488184,68615
Company_310,115956,214240,58876,149992,472125,65318
Company_311,115646,199249,46793,120453,502661,75913
Company_312,141975,224532,67952,161236,395257,98505
Company_313,136508,241706,52300,202151,529682,67923
Company_314,136270,216734,54977,124631,523006,82827
Company_315,146109,200310,56659,140963,475441,70149
Company_316,120420,160644,54215,160411,560355,76095
Company_317,133639,168046,58389,148652,432350,57349
Company_318,113794,190843,43827,125442,567674,76691
Company_319,126483,181714,44416,178046,509269,77094
Company_320,117397,194390,38998,208001,479806,88104
Company_321,121939,201699,54395,154903,498807,83349
Company_322,131903,215890,57789,127398,493564,62024
Company_323,103635,197885,54577,111275,573216,96262
Company_324,161847,214595,66744,156449,435399,83154
Company_325,99879,201934,49944,177596,454248,82975
Company_326,95716,140736,56687,161879,562178,79862
Company_327,143162,171819,39082,149939,464267,72233
Company_328,135833,195677,46129,135268,554031,83267
Company_329,132482,163709,56955,122695,601966,87133
Company_330,132566,217997,58491,170868,475892,53796
Company_331,119755,245922,47060,172844,540881,71918
Company_332,102054,236562,49284,111356,430778,76175
Company_333,121516,193596,34821,189745,545283,83842
Company_334,106456,244721,46429,164351,511965,97899
Company_335,139502,204460,58903,184989,528382,68423
Company_336,117058,189887,55752,116446,461265,72530
Company_337,103490,181597,55006,115854,400334,72311
Company_338,113572,190925,50497,146275,530195,67977
Company_339,128258,188354,50070,162569,376195,74792
Company_340,108725,205112,43396,194909,480958,91562
Company_341,103555,204817,56988,167651,556470,64192
Company_342,124873,200091,54209,143932,511513,86417
Company_343,124899,213108,54920,124340,616900,54471
Company_344,109861,235719,44739,180750,561506,71579
Company_345,110579,228486,28466,125882,460766,75057
Company_346,124640,155453,60971,190711,501638,105122
Company_347,91038,123382,45211,142890,497157,75877
Company_348,91850,228029,41372,189764,405069,46981
Company_349,105631,158993,56934,166973,443576,50016
Company_350,115731,193257,46079,146575,466354,80510
Company_351,126218,164896,60599,137015,377826,89206
Company_352,149507,145940,56170,141477,502849,85631
Company_353,137153,216243,56835,160707,485055,82513
Company_354,116801,222774,36340,151928,399626,97433
Company_355,119619,182704,62119,135154,524252,71906
Company_356,99949,122268,52612,145859,542952,93423
Company_357,119629,183612,46307,151964,513622,55519
Company_358,114226,211754,51433,96781,480555,66425
Company_359,126454,155632,32237,161454,535486,52894
Company_360,103455,205500,54086,125506,540813,75877
Company_361,130386,199540,39706,121166,518444,79306
Company_362,150654,217378,36473,107816,450523,81711
Company_363,117824,203587,34776,105152,516596,80928
Company_364,128034,170807,61126,116113,571728,66086
Company_365,133802,235897,43707,132274,464202,77146
Company_366,111975,195244,65337,198831,625876,57538
Company_367,124481,199180,44641,136853,468462,100448
Company_368,120251,172001,32926,154443,501944,75445
Company_369,121953,186701,38834,160012,459650,72666
Company_370,104539,173455,62358,153276,513396,103834
Company_371,120490,194811,48441,148063,395466,61366
Company_372,129959,251351,44517,120117,467237,63116
Company_373,149022,158842,51600,186273,434472,63556
Company_374,139185,151593,55017,195179,508120,78981
Company_375,163063,244135,61173,107933,559666,86474
Company_376,104653,193720,64484,124399,538760,91095
Company_377,137446,179927,46402,143004,357700,118579
Company_378,123666,231197,36739,125886,622524,46258
Company_379,163796,181831,45865,162649,517716,89131
Company_380,103834,254780,52602,131793,453410,71643
Company_381,103205,220337,40362,204126,509427,71203
Company_382,108012,185362,40428,179763,510571,70703
Company_383,77522,264719,53437,155314,459989,66368
Company_384,109484,181828,49513,175674,511875,105267
Company_385,104817,222262,50327,177647,463551,92634
Company_386,123007,208978,42415,135901,475738,80347
Company_387,126835,239052,47695,129594,458823,100265
Company_388,157523,246845,40757,151953,414039,57312
Company_389,139008,200960,58901,171540,508750,60039
Company_390,108461,177397,60352,153476,535117,47330
Company_391,102031,213799,31538,110575,530893,69508
Company_392,129838,179668,40704,129929,549195,82425
Company_393,93595,260401,35034,148150,519460,81542
Company_394,156629,204096,43499,148108,468036,82240
Company_395,143588,189040,49165,199313,550379,58834
Company_396,110616,205540,35503,115350,418548,92047
Company_397,85737,159586,40781,162639,445959,83594
Company_398,147077,170851,39960,187227,442147,90995
Company_399,117709,236012,52072,206786,564803,51608
Company_400,144756,180293,50693,139890,556567,84672
Company_401,88111,168592,42782,162285,529238,62183
Company_402,108012,216099,51768,164244,564315,74040
Company_403,120104,235571,44533,154887,447243,88015
Company_404,120939,221568,47283,147528,520915,81366
Company_405,110998,229881,66734,160899,492489,67226
Company_406,132456,177296,63404,86693,550812,80094
Company_407,98647,157345,37004,167051,493086,57026
Company_408,117152,245040,58297,153154,476903,97254
Company_409,122405,190319,58113,144438,532454,76920
Company_410,130288,192475,38517,201171,552570,96778
Company_411,134232,239845,58187,133126,459899,72102
Company_412,97507,216686,65379,139923,496335,72146
Company_413,89317,213676,38774,199788,436493,68537
Company_414,145553,264950,40824,129198,350116,93142
Company_415,126646,180694,60176,136247,512027,69358
Company_416,105030,227835,52714,146324,536534,89668
Company_417,151023,201710,55514,171018,515724,74263
Company_418,122313,208057,53405,155195,383026,50360
Company_419,143585,245854,53906,117684,478949,71445
Company_420,121350,215235,36735,136695,366899,62313
Company_421,161214,216148,60473,134816,582182,80508
Company_422,155106,232175,61695,148069,434836,62143
Company_423,115020,189051,47706,160646,575324,93889
Company_424,139431,174823,49565,160455,556752,78633
Company_425,132907,168655,34688,105599,445964,77336
Company_426,147372,141009,55142,176598,432032,89838
Company_427,100701,261686,55720,156314,521022,94458
Company_428,133721,166903,49378,184613,449340,79698
Company_429,141168,193362,61243,161104,506149,68431
Company_430,84825,191695,46659,177533,471030,53390
Company_431,96334,209222,55646,161663,393130,69709
Company_432,79215,224472,39803,183655,366171,70741
Company_433,114611,225814,49764,163056,513601,81605
Company_434,134350,182507,48256,147552,466306,74822
Company_435,150047,194986,52253,206810,466814,90318
Company_436,121481,208477,46304,172225,541751,70805
Company_437,152572,192539,48685,164343,570406,79144
Company_438,92397,248220,58260,118092,483647,97759
Company_439,85932,214729,45632,117792,479564,85127
Company_440,118889,222046,33934,157317,530008,79099
Company_441,127681,219886,67495,153638,418583,70970
Company_442,119346,235204,63814,134646,513389,70501
Company_443,78651,205430,37077,153524,533113,67240
Company_444,118217,161095,56897,189715,540813,71884
Company_445,93910,211990,44970,167385,383794,91334
Company_446,133393,180459,52634,121474,454318,76671
Company_447,127331,184141,52942,147212,447304,59753
Company_448,101202,217590,47655,129875,505993,106522
Company_449,109722,237148,42162,140307,528844,84799
Company_450,98815,200638,43094,139659,589802,58895
Company_451,118746,209264,40838,138058,470302,73372
Company_452,139102,251066,41681,118621,470145,81663
Company_453,100285,207222,49328,146808,568980,105568
Company_454,130080,278050,42842,135984,517794,63378
Company_455,109394,216965,56820,76763,576059,94640
Company_456,104142,147177,64872,201324,517323,100992
Company_457,117859,222600,44199,177219,430573,70570
Company_458,99295,211434,52394,140592,420012,75837
Company_459,108927,238692,54996,150470,406909,64455
Company_460,96042,220195,54720,120708,539723,76948
Company_461,159294,195846,50759,192393,571315,79451
Company_462,120705,163271,57426,197432,610961,89894
Company_463,106005,193729,54822,153917,550586,96352
Company_464,124279,174484,37623,175588,569770,68778
Company_465,117753,182584,58691,154382,465199,50490
Company_466,115580,217657,58872,116581,430615,79681
Company_467,132283,250097,42367,139704,551004,84403
Company_468,135150,211840,50379,153298,525060,83741
Company_469,109389,164123,56833,138636,506446,75099
Company_470,108483,213338,47906,144533,523242,81871
Company_471,114498,235898,60729,147715,519391,102731
Company_472,73961,181706,73638,147978,577029,85726
Company_473,89696,195979,42140,151306,577699,74399
Company_474,147337,200440,36189,123484,532653,72497
Company_475,152899,176453,53038,132074,550748,77452
Company_476,115019,219448,57215,117885,530843,104551
Company_477,131531,196371,47691,174445,472329,77250
Company_478,126225,212585,64532,97358,545393,79703
Company_479,181577,173375,36613,178839,416330,72765
Company_480,142391,186876,56929,184658,563233,96484
Company_481,117441,221671,43941,142445,428328,109397
Company_482,100889,188815,67193,84921,517148,86759
Company_483,87871,251808,69925,140967,449290,81241
Company_484,124069,188010,42333,148395,533203,80551
Company_485,104872,206740,44504,124735,497964,44235
Company_486,91554,227977,58595,137119,404314,91177
Company_487,107068,157449,46128,188254,525241,82012
Company_488,98369,147175,49545,166623,465324,86425
Company_489,153742,154230,50253,126885,552868,69328
Company_490,137632,237877,30803,110060,500079,74233
Company_491,119840,183444,49861,141824,523725,73834
Company_492,149598,276745,43102,144663,442545,95324
Company_493,121547,183072,45068,162404,464640,74318
Company_494,102774,205536,64436,136617,472481,111239
Company_495,150462,246263,37434,162787,551402,86462
Company_496,130778,260182,58132,198378,600642,60864
Company_497,99255,261845,47210,170387,451689,78071
Company_498,116193,236250,47202,148797,564610,70224
Company_499,102487,230721,57903,145421,369819,47084
Company_500,92344,217775,53400,141083,428348,103992
Company_501,138523,223350,55706,179516,442473,90547
Company_502,158188,183464,59681,134317,418849,87998
Company_503,92028,175454,46686,151130,404984,82481
Company_504,131259,199898,43877,151279,524779,59269
Company_505,106987,194894,39148,137455,487155,72745
Company_506,110257,186403,41745,115688,522764,92626
Company_507,108152,220891,79490,158074,541428,64231
Company_508,102720,228659,62446,148474,515937,42023
Company_509,120970,202652,36489,162506,539465,76593
Company_510,103380,244325,36775,136659,495828,77873
Company_511,125409,165749,54818,180520,428780,82033
Company_512,118995,194190,55472,128080,563468,90927
Company_513,115221,178495,55488,192801,464653,89564
Company_514,101848,144003,47450,106309,443864,83881
Company_515,108464,197519,48745,160869,489324,97932
Company_516,135107,196347,53278,161885,445231,57215
Company_517,130018,245403,50858,130111,474954,87568
Company_518,100448,218924,27806,160609,520643,89398
Company_519,121986,169274,47702,181987,520900,61406
Company_520,135027,255622,41485,94579,446130,57456
Company_521,86611,236631,51752,162568,470737,68810
Company_522,130867,217462,79852,87668,564459,70076
Company_523,106747,193205,53674,125858,529784,91301
Company_524,131411,171216,46864,190729,624503,70781
Company_525,104734,188833,59218,135455,570807,67154
Company_526,83902,232662,54826,120653,568657,70825
Company_527,87449,256537,54200,145051,416727,96779
Company_528,120961,246297,56068,201697,545831,80195
Company_529,125194,185334,70565,104207,496813,77311
Company_530,101913,166411,38691,123717,466941,78349
Company_531,132771,204226,54736,187435,510080,99380
Company_532,86769,146946,40736,196442,556712,68762
Company_533,118678,209695,55555,147414,530049,99732
Company_534,95779,195571,40813,119023,447291,83157
Company_535,106963,186018,45826,202396,544547,77593
Company_536,120947,152158,47049,189861,461744,117513
Company_537,102791,215408,59758,166973,513000,64165
Company_538,112308,184018,59184,129689,481798,74694
Company_539,140125,164902,37542,148774,486868,61513
Company_540,108462,113832,50549,145990,545974,94286
Company_541,136713,199174,42904,158271,437588,105337
Company_542,97405,253167,37414,186275,616711,105048
Company_543,130596,249837,47829,171985,390734,98359
Company_544,148831,186287,46915,123065,464139,77035
Company_545,70567,181933,74267,184412,522212,74521
Company_546,104062,214063,54329,157828,535058,54932
Company_547,131541,170048,36223,167176,493971,110538
Company_548,115939,209053,44352,186663,496556,87034
Company_549,127422,222982,60213,122210,524633,72620
Company_550,107920,236807,70884,149104,486135,99920
Company_551,121731,196995,34140,136713,583590,65408
Company_552,116886,193889,31200,110803,550360,86099
Company_553,143355,173660,68709,158667,552369,77410
Company_554,125088,175193,53896,212788,442030,89580
Company_555,126752,193205,41317,103998,495236,79046
Company_556,111762,211020,55346,149192,481972,58236
Company_557,110247,227407,23642,166013,439663,81133
Company_558,111348,175904,50033,153076,521609,95732
Company_559,127889,244780,53278,147171,467741,79561
Company_560,111580,191866,59242,117519,539324,91626
Company_561,125795,199358,39861,155819,435788,64317
Company_562,161508,177583,50856,131080,603142,79606
Company_563,137422,127272,40745,95251,446220,70632
Company_564,113479,226521,52553,179864,513158,91204
Company_565,144024,222105,41046,173959,547511,80472
Company_566,111838,191560,45918,151291,465761,90351
Company_567,79237,202009,40041,155726,551148,96315
Company_568,99838,215478,56511,176857,426248,90374
Company_569,82584,153123,58584,155608,587127,84096
Company_570,112969,184128,47653,172600,500848,65026
Company_571,120368,223827,50382,142562,464215,79958
Company_572,153528,162371,35514,182799,482049,72003
Company_573,126538,208806,47003,158019,548535,74839
Company_574,115617,159302,49497,154851,464932,74381
Company_575,136588,213992,76207,118248,455038,65301
Company_576,75777,198930,38880,157173,486707,50639
Company_577,124712,151546,64641,129201,429382,69977
Company_578,135417,234942,59968,134042,609232,82900
Company_579,90428,177962,52806,129615,466016,59777
Company_580,142875,175692,67586,123344,549897,80235
Company_581,126769,206017,53721,203119,512568,108504
Company_582,111694,234459,53891,183283,440927,95345
Company_583,132655,169525,49468,198009,499642,104653
Company_584,165413,201850,62235,119427,547040,85866
Company_585,123637,212864,60964,151781,488704,97512
Company_586,124964,220793,43743,117662,571586,69140
Company_587,110812,205293,36807,132607,561290,70334
Company_588,103003,188989,47970,127046,555134,38912
Company_589,136606,175172,41999,180989,472420,97792
Company_590,102878,202584,49364,140094,435209,103104
Company_591,121431,167835,62374,176709,463184,71702
Company_592,110446,112359,45426,165103,511774,76190
Company_593,129579,213096,49571,207590,532747,68692
Company_594,126673,227118,50580,113013,369705,85739
Company_595,140750,129112,58484,181480,499513,96873
Company_596,109799,169708,27531,178661,509485,53858
Company_597,114602,218574,43932,125665,483347,86141
Company_598,100424,261724,52112,175178,577476,75849
Company_599,111114,200623,62000,158403,525306,81700
Company_600,127546,178159,45080,144313,578611,86884
Company_601,135139,194513,31234,129401,487042,77176
Company_602,101556,241246,56197,132022,556248,78446
Company_603,137392,180621,43646,201245,598103,76791
Company_604,147112,176024,38103,150017,578701,94554
Company_605,128268,185517,43756,169553,434471,86281
